place_fips,place_name,full_fips,county_name,% difference
102116,Arab city,01095,Marshall County,99.06
2769970,White Bear Lake city,27123,Ramsey County,99.06
4041500,Langley town,40097,Mayes County,99.04
4869908,Stafford city,48157,Fort Bend County,99.02
1737998,Ivesdale village,17019,Champaign County,99.01
1957225,North English city,19095,Iowa County,99.01
1776935,University Park village,17197,Will County,99.00
3729680,Harrells town,37163,Sampson County,98.99
4832720,Haslet city,48439,Tarrant County,98.97
2719160,Elysian city,27079,Le Sueur County,98.97
2710918,Chanhassen city,27019,Carver County,98.96
3824260,Enderlin city,38073,Ransom County,98.95
1758447,Pekin city,17179,Tazewell County,98.95
2017850,De Soto city,20091,Johnson County,98.88
4822168,East Mountain city,48459,Upshur County,98.88
2653780,Midland city,26111,Midland County,98.88
2867000,Shaw city,28011,Bolivar County,98.87
1714000,Chicago city,17031,Cook County,98.87
173848,Sumiton city,01127,Walker County,98.87
2674980,South Haven city,26159,Van Buren County,98.86
432020,Hayden town,04007,Gila County,98.85
148712,Millbrook city,01051,Elmore County,98.84
116600,Collinsville town,01049,DeKalb County,98.82
3140675,Randolph city,31027,Cedar County,98.82
2276615,Tullos town,22059,LaSalle Parish,98.80
1932745,Greene city,19023,Butler County,98.79
6075300,Tafuna village,60050,Western District,98.79
5379625,Woodland city,53015,Cowlitz County,98.78
3919330,Crestline village,39033,Crawford County,98.78
5486452,Wheeling city,54069,Ohio County,98.76
1957675,Norwalk city,19181,Warren County,98.74
1707133,Bolingbrook village,17197,Will County,98.73
3940040,Kettering city,39113,Montgomery County,98.73
4801636,Alba town,48499,Wood County,98.72
4061150,Purcell city,40087,McClain County,98.71
5513300,Cazenovia village,55103,Richland County,98.71
4835300,Hughes Springs city,48067,Cass County,98.69
2163264,Prospect city,21111,Jefferson County,98.68
2756950,St. Francis city,27003,Anoka County,98.67
1779813,Wenona city,17123,Marshall County,98.64
4772540,Sweetwater city,47123,Monroe County,98.62
2075325,Wamego city,20149,Pottawatomie County,98.61
2220610,DeRidder city,22011,Beauregard Parish,98.60
4514950,Clemson city,45077,Pickens County,98.59
4200364,Adamstown borough,42071,Lancaster County,98.58
4832984,Heath city,48397,Rockwall County,98.57
1916050,Coon Rapids city,19027,Carroll County,98.57
4750280,Morristown city,47063,Hamblen County,98.56
1727624,Frankfort village,17197,Will County,98.55
2627760,Fenton city,26049,Genesee County,98.55
803455,Arvada city,08059,Jefferson County,98.52
111416,Calera city,01117,Shelby County,98.51
4019450,Davis city,40099,Murray County,98.51
