"","place_name","state_name","c"
"191","Lansing city","Michigan",58
"192","Laredo city","Texas",2
"193","Las Vegas city","New Mexico",2
"194","Lassen County","California",2
"195","Lathrup Village city","Michigan",1
"196","Lincoln City city","Oregon",34
"197","Litchfield town","New Hampshire",1
"198","Livonia city","Michigan",18
"199","Long Beach city","New York",4
"200","Longmont city","Colorado",2
"201","Lowell city","Michigan",1
"202","Macon County","North Carolina",1
"203","Madison County","North Carolina",3
"204","Madison Heights city","Michigan",4
"205","Madison borough","Pennsylvania",1
"206","Madison city","Wisconsin",25
"207","Manistee city","Michigan",6
"208","Marion County","Oregon",20
"209","Marion city","Illinois",4
"210","McAlester city","Oklahoma",1
"211","McHenry city","Illinois",1
"212","McMinnville city","Oregon",19
"213","Medford city","Massachusetts",2
"214","Mentor city","Ohio",2
"215","Miami city","Texas",62
"216","Middlesex County","New Jersey",5
"217","Middletown township","New Jersey",3
"218","Midlothian village","Illinois",4
"219","Milford town","Massachusetts",4
"220","Milltown borough","New Jersey",1
"221","Milton city","Wisconsin",9
"222","Minneapolis city","Minnesota",242
"223","Mission city","Texas",1
"224","Mobile city","Alabama",6
"225","Molalla city","Oregon",1
"226","Montclair township","New Jersey",38
"227","Monte Vista city","Colorado",2
"228","Montezuma County","Colorado",1
"229","Montgomery County","Virginia",5
"230","Montgomery city","Alabama",2
"231","Montrose city","Minnesota",1
"232","Moore city","Oklahoma",1
"233","Moorhead city","Minnesota",28
"234","Moreno Valley city","California",6
"235","Morgan County","Utah",1
"236","Morganton city","North Carolina",1
"237","Mount Pleasant town","South Carolina",2
"238","Nags Head town","North Carolina",4
"239","Napoleon city","Ohio",1
"240","Nashville-Davidson metropolitan government (balance)","Tennessee",42
"241","Nekoosa city","Wisconsin",2
"242","New Bern city","North Carolina",8
"243","New Brunswick city","New Jersey",36
"244","New Castle town","New York",1
"245","New Milford town","Connecticut",1
"246","New Paltz village","New York",2
"247","New Prague city","Minnesota",2
"248","New Ulm city","Minnesota",2
"249","Norman city","Oklahoma",2
"250","Norristown borough","Pennsylvania",5
"251","North Abington township","Pennsylvania",1
"252","North Canton city","Ohio",2
"253","North Las Vegas city","Nevada",6
"254","North Reading town","Massachusetts",29
"255","North Smithfield town","Rhode Island",8
"256","Northglenn city","Colorado",28
"257","Norwalk city","Connecticut",8
"258","Oak Harbor city","Washington",4
"259","Oak Island town","North Carolina",2
"260","Oak Park city","Michigan",2
"261","Oceanside city","California",16
"262","Ojai city","California",75
"263","Okanogan County","Washington",1
"264","Oklahoma City city","Oklahoma",22
"265","Omaha city","Nebraska",30
"266","Orange County","Virginia",1
"267","Orange village","Ohio",1
"268","Oregon village","Wisconsin",14
"269","Orem city","Utah",3
"270","Orlando city","Florida",14
"271","Ortonville village","Michigan",1
