origin_statefips,origin_countyfips,dest_statefips,dest_countyfips,dest_stateabbr,dest_countyname,n_returns,n_individuals,adj_grossincome
1,31,12,5,FL,Bay County,25,49,1567
1,31,36,45,NY,Jefferson County,25,51,1816
1,31,15,3,HI,Honolulu County,24,51,1659
1,33,1,33,AL,Colbert County Non-migrants,19066,39437,1197536
1,33,1,77,AL,Lauderdale County,435,852,30664
1,33,1,59,AL,Franklin County,98,195,9532
1,33,1,89,AL,Madison County,53,89,2392
1,33,1,103,AL,Morgan County,45,87,2085
1,33,1,79,AL,Lawrence County,40,87,2330
1,33,1,83,AL,Limestone County,38,66,1923
1,33,1,73,AL,Jefferson County,32,63,2483
1,35,1,35,AL,Conecuh County Non-migrants,3619,7378,177379
1,35,1,53,AL,Escambia County,47,113,1592
1,35,1,99,AL,Monroe County,24,68,1357
1,35,1,39,AL,Covington County,23,51,916
1,37,1,37,AL,Coosa County Non-migrants,3030,6052,163070
1,37,1,123,AL,Tallapoosa County,68,148,2266
1,37,1,121,AL,Talladega County,58,113,1878
1,37,1,51,AL,Elmore County,20,37,1346
1,39,1,39,AL,Covington County Non-migrants,11664,25011,667991
1,39,1,31,AL,Coffee County,55,130,2177
1,39,12,91,FL,Okaloosa County,43,71,1873
1,39,1,41,AL,Crenshaw County,30,72,1355
1,39,12,131,FL,Walton County,25,48,820
1,39,1,13,AL,Butler County,21,36,459
1,39,1,73,AL,Jefferson County,20,30,818
1,41,1,41,AL,Crenshaw County Non-migrants,4429,9316,219175
1,41,1,101,AL,Montgomery County,46,94,1695
1,41,1,39,AL,Covington County,34,74,1368
1,41,1,109,AL,Pike County,32,75,900
1,41,1,13,AL,Butler County,30,67,813
1,43,1,43,AL,Cullman County Non-migrants,27809,60758,1793335
1,43,1,103,AL,Morgan County,201,394,7384
1,43,1,73,AL,Jefferson County,149,257,7402
1,43,1,95,AL,Marshall County,128,244,4263
1,43,1,9,AL,Blount County,104,220,4394
1,43,1,89,AL,Madison County,69,115,4243
1,43,1,133,AL,Winston County,50,111,2231
1,43,1,127,AL,Walker County,46,81,1782
1,43,1,117,AL,Shelby County,35,54,1624
1,43,1,83,AL,Limestone County,32,58,1842
1,43,1,79,AL,Lawrence County,23,49,1021
1,43,1,3,AL,Baldwin County,22,36,1132
1,45,1,45,AL,Dale County Non-migrants,14847,31159,814443
1,45,1,69,AL,Houston County,396,795,16027
1,45,1,31,AL,Coffee County,305,663,14862
1,45,57,5,FR,Foreign - APO/FPO ZIPs,56,134,3799
1,45,1,67,AL,Henry County,48,101,2278
1,45,36,45,NY,Jefferson County,41,108,2350
1,45,1,61,AL,Geneva County,40,77,1195
1,45,8,41,CO,El Paso County,40,103,2103
1,45,48,141,TX,El Paso County,38,100,2295
1,45,1,109,AL,Pike County,36,71,1205
1,45,47,125,TN,Montgomery County,32,85,1700
1,45,1,5,AL,Barbour County,31,66,1543
1,45,48,27,TX,Bell County,31,80,1898
1,45,15,3,HI,Honolulu County,29,91,1687
1,45,12,5,FL,Bay County,24,39,1207
1,45,13,51,GA,Chatham County,24,67,1368
1,45,20,61,KS,Geary County,20,64,1127
1,47,1,47,AL,Dallas County Non-migrants,11495,23602,502340
1,47,1,101,AL,Montgomery County,144,307,3793
1,47,1,1,AL,Autauga County,64,139,2494
1,47,1,73,AL,Jefferson County,41,63,1691
1,47,1,51,AL,Elmore County,33,57,1266
1,47,1,21,AL,Chilton County,32,75,1644
1,47,1,125,AL,Tuscaloosa County,26,46,892
1,47,1,105,AL,Perry County,22,41,523
1,47,1,3,AL,Baldwin County,21,34,1395
1,49,1,49,AL,DeKalb County Non-migrants,21764,48722,1120792
1,49,1,95,AL,Marshall County,218,474,7595
1,49,1,71,AL,Jackson County,201,408,7082
1,49,1,55,AL,Etowah County,92,188,3752
1,49,1,19,AL,Cherokee County,83,170,3432
1,49,1,89,AL,Madison County,38,70,2013
1,49,47,65,TN,Hamilton County,30,63,1209
1,49,1,73,AL,Jefferson County,27,45,1020
1,51,1,51,AL,Elmore County Non-migrants,28289,59681,1953681
1,51,1,101,AL,Montgomery County,476,934,24372
1,51,1,1,AL,Autauga County,453,933,22587
1,51,1,123,AL,Tallapoosa County,117,233,5454
1,51,1,81,AL,Lee County,73,137,8604
1,51,1,73,AL,Jefferson County,56,88,2636
1,51,1,117,AL,Shelby County,54,102,6271
1,51,1,3,AL,Baldwin County,41,72,3768
1,51,1,21,AL,Chilton County,39,76,2853
1,51,1,89,AL,Madison County,28,54,1340
1,51,1,87,AL,Macon County,22,39,983
1,53,1,53,AL,Escambia County Non-migrants,11058,23379,573631
1,53,12,33,FL,Escambia County,106,215,3678
1,53,1,3,AL,Baldwin County,96,195,3414
1,53,1,97,AL,Mobile County,40,73,1543
1,53,12,113,FL,Santa Rosa County,40,91,1584
1,53,1,35,AL,Conecuh County,37,79,1319
1,53,1,99,AL,Monroe County,37,84,1557
1,53,1,39,AL,Covington County,28,66,1522
1,55,1,55,AL,Etowah County Non-migrants,33250,70278,1958908
1,55,1,95,AL,Marshall County,227,450,8599
1,55,1,15,AL,Calhoun County,214,398,8676
1,55,1,73,AL,Jefferson County,134,237,6013
1,55,1,115,AL,St. Clair County,120,257,5674
1,55,1,49,AL,DeKalb County,81,160,3453
1,55,1,89,AL,Madison County,73,132,3349
1,55,1,9,AL,Blount County,70,151,2959
1,55,1,19,AL,Cherokee County,54,92,2206
1,55,1,117,AL,Shelby County,46,73,2276
1,55,1,3,AL,Baldwin County,32,57,1789
1,55,1,121,AL,Talladega County,27,57,812
1,55,1,83,AL,Limestone County,22,39,1215
1,55,1,103,AL,Morgan County,21,38,1754
1,57,1,57,AL,Fayette County Non-migrants,4939,10834,256693
1,57,1,93,AL,Marion County,82,182,3739
1,57,1,125,AL,Tuscaloosa County,69,140,3596
1,57,1,127,AL,Walker County,32,70,1116
1,57,1,75,AL,Lamar County,30,69,1200
1,59,1,59,AL,Franklin County Non-migrants,9233,20676,491670
1,59,1,33,AL,Colbert County,133,273,6539
1,59,1,77,AL,Lauderdale County,73,129,3593
1,59,1,93,AL,Marion County,51,117,1788
1,59,1,133,AL,Winston County,31,60,1140
1,59,28,141,MS,Tishomingo County,30,52,803
1,59,1,79,AL,Lawrence County,20,43,1337
1,59,28,57,MS,Itawamba County,20,30,483
1,61,1,61,AL,Geneva County Non-migrants,8037,17221,406138
1,61,1,69,AL,Houston County,176,360,9858
1,61,1,31,AL,Coffee County,89,194,3867
1,61,1,45,AL,Dale County,42,89,1605
1,61,1,39,AL,Covington County,29,58,1146
1,61,12,59,FL,Holmes County,28,72,773
1,63,1,63,AL,Greene County Non-migrants,2491,5081,89537
1,63,1,125,AL,Tuscaloosa County,73,153,2279
1,65,1,65,AL,Hale County Non-migrants,4914,10161,226635
1,65,1,125,AL,Tuscaloosa County,200,415,8221
1,65,1,91,AL,Marengo County,21,47,1040
1,67,1,67,AL,Henry County Non-migrants,5665,12000,408717
1,67,1,69,AL,Houston County,199,418,8761
1,67,1,45,AL,Dale County,48,91,1561
1,67,1,5,AL,Barbour County,29,62,1302
1,69,1,69,AL,Houston County Non-migrants,35144,73335,2445177
1,69,1,45,AL,Dale County,425,914,17952
1,69,1,67,AL,Henry County,212,475,9912
1,69,1,61,AL,Geneva County,152,329,8110
1,69,1,31,AL,Coffee County,101,210,4465
1,69,12,5,FL,Bay County,99,200,4869
1,69,1,73,AL,Jefferson County,58,88,2862
1,69,12,63,FL,Jackson County,58,101,2163
1,69,1,101,AL,Montgomery County,47,103,1724
1,69,1,5,AL,Barbour County,42,68,1795
1,69,1,3,AL,Baldwin County,34,72,2674
1,69,1,89,AL,Madison County,32,64,2038
1,69,1,109,AL,Pike County,32,60,1220
1,69,1,81,AL,Lee County,27,50,1373
1,69,12,91,FL,Okaloosa County,26,48,1372
1,69,1,97,AL,Mobile County,25,40,1603
1,69,12,73,FL,Leon County,25,46,1942
1,69,1,117,AL,Shelby County,23,44,1701
1,69,1,51,AL,Elmore County,22,44,1094
1,69,13,99,GA,Early County,21,38,747
1,69,12,33,FL,Escambia County,20,33,772
1,69,12,57,FL,Hillsborough County,20,39,0
1,71,1,71,AL,Jackson County Non-migrants,17064,35874,963948
1,71,1,49,AL,DeKalb County,200,423,7580
1,71,1,89,AL,Madison County,124,237,7328
